OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3996,2022-052V,2026-09-20T00:38:32.397504,15.09153477,.00026409,53.1607,116.0489,98.9157,261.2134,0,U,52617,999,24032,.22260913E-2,.35628E-3,0
STARLINK-3983,2022-052W,2026-09-20T06:48:56.927808,15.35401357,.00011763,53.1589,103.5470,97.7816,262.3320,0,U,52618,999,24052,-.28761502E-4,-.1384E-4,0
STARLINK-3741,2022-052X,2026-09-20T22:06:42.927552,15.34388198,.00010447,53.1599,97.6724,97.6925,262.4197,0,U,52619,999,24066,.20817592E-4,.327E-5,0
STARLINK-3975,2022-052Y,2026-09-21T00:00:02.000160,15.35372832,.00011323,53.1612,113.7042,76.6777,29.3543,0,U,52620,999,589,.13725691E-2,.47759E-3,0
STARLINK-3984,2022-052Z,2026-09-19T22:59:32.697312,15.35397076,.00010264,53.1592,105.2327,102.7037,257.4081,0,U,52621,999,24047,.13125394E-4,.77E-6,0
STARLINK-4008,2022-052AA,2026-09-20T07:49:30.099648,15.35409590,.00012019,53.1585,117.1990,76.2428,283.8709,0,U,52622,999,24034,-.75509523E-4,-.3014E-4,0
STARLINK-3986,2022-052AB,2026-09-20T22:47:42.774432,15.35396195,.00013379,53.1591,100.0827,79.6545,280.4609,0,U,52623,999,24063,.12409458E-4,.52E-6,0
STARLINK-3988,2022-052AD,2026-09-20T22:37:07.708512,15.35395591,.00012313,53.1590,100.0745,87.1582,272.9561,0,U,52625,999,24063,.11720834E-4,.28E-6,0
STARLINK-3990,2022-052AE,2026-09-20T22:55:52.365216,15.34389438,.0000943,53.1602,99.3353,85.0998,275.0113,0,U,52626,999,24064,.12439562E-4,.44E-6,0
STARLINK-3992,2022-052AF,2026-09-20T06:20:59.284320,15.35409943,.00013849,53.1585,103.7756,75.2737,284.8420,0,U,52627,999,24053,-.2290144E-4,-.118E-4,0
STARLINK-4001,2022-052AG,2026-09-20T23:04:36.751008,15.35400216,.00012122,53.1587,114.0954,93.1782,266.9360,0,U,52628,999,24044,.4756587E-4,.1279E-4,0
STARLINK-4022,2022-052AH,2026-09-21T00:00:02.000160,15.11339810,.00013962,53.1599,111.6254,312.3133,141.8797,0,U,52629,999,581,.45869224E-2,.78784E-3,0
STARLINK-3989,2022-052AJ,2026-09-20T00:01:06.974688,15.31698318,.00012923,53.1582,102.1028,90.5301,269.5849,0,U,52630,999,24052,.22694855E-4,.339E-5,0
STARLINK-3794,2022-052AK,2026-09-20T22:09:48.843072,15.34384129,.00011513,53.1612,98.0481,95.4079,264.7055,0,U,52631,999,24067,.13801196E-4,.9E-6,0
STARLINK-3995,2022-052AL,2026-09-20T03:12:48.480480,15.08833664,.0001419,53.1588,115.5668,90.8991,269.2163,0,U,52632,999,24035,.34857074E-4,.267E-5,0
STARLINK-3994,2022-052AM,2026-09-20T20:09:06.549696,15.09490218,.00015455,53.1594,112.3837,47.5553,312.5569,0,U,52633,999,24046,.48449523E-2,.79088E-3,0
STARLINK-3974,2022-052AN,2026-09-20T06:13:33.951072,15.35403335,.00011333,53.1591,103.8150,98.2444,261.8688,0,U,52634,999,24052,.58840115E-4,.1673E-4,0
STARLINK-3978,2022-052AP,2026-09-20T22:13:33.444192,15.31703649,.00014208,53.1590,89.0809,84.7345,275.3818,0,U,52635,999,24079,.54811596E-4,.1336E-4,0
STARLINK-3967,2022-052AQ,2026-09-20T22:38:00.993120,15.35392736,.0001257,53.1600,101.0177,88.2332,271.8815,0,U,52636,999,24062,.3557028E-5,-.256E-5,0
STARLINK-3961,2022-052AR,2026-09-20T22:00:07.107552,15.31702626,.00014087,53.1604,89.0640,86.1595,273.9567,0,U,52637,999,24159,.35637822E-4,.741E-5,0
STARLINK-3941,2022-052AS,2026-09-20T22:12:43.722720,15.34393959,.00015513,53.1590,97.4427,91.2844,268.8336,0,U,52638,999,24148,-.34469655E-4,-.1541E-4,0
STARLINK-3968,2022-052AT,2026-09-20T02:12:19.223424,15.34391218,.000114,53.1592,93.9616,86.8131,273.3002,0,U,52639,999,24145,.40503484E-4,.992E-5,0
STARLINK-3977,2022-052AU,2026-09-20T21:26:16.611648,15.35395396,.00011318,53.1595,90.2615,96.8093,263.3039,0,U,52640,999,24076,.48627967E-4,.1316E-4,0
STARLINK-3991,2022-052AV,2026-09-20T21:26:33.254016,15.31698375,.0001122,53.1593,89.0748,93.2074,266.9056,0,U,52641,999,24079,-.4330038E-5,-.499E-5,0
STARLINK-3971,2022-052AW,2026-09-20T03:13:24.313152,15.35398370,.0001148,53.1592,93.4393,86.9845,273.1289,0,U,52642,999,24065,.15876449E-4,.173E-5,0
STARLINK-3963,2022-052AX,2026-09-20T21:19:51.403296,15.31699403,.0001197,53.1600,89.1635,90.7758,269.3380,0,U,52643,999,24078,-.756072E-5,-.6E-5,0
STARLINK-3985,2022-052AY,2026-09-20T21:43:34.502880,15.35395309,.00013839,53.1596,90.4658,82.9483,277.1677,0,U,52644,999,24076,.22434649E-4,.402E-5,0
